14,B2,FALSE,22-23,C,UNKNOWN,VIC,NFQ-MGB,27.461,27.356,0.149,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.932,N,N,N,N,N,N,0.000,,,
14,B2,FALSE,22-23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,75.608,,,
15,B3,FALSE,22-23,Mcav,UNKNOWN,SYBR,None,23.295,23.209,0.122,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.862,N,N,N,N,N,N,75.166,,,
16,B4,FALSE,22-23,C,UNKNOWN,VIC,NFQ-MGB,27.250,27.356,0.149,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.932,N,N,N,N,N,N,0.000,,,
16,B4,FALSE,22-23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,73.988,,,
17,B5,FALSE,20-21,Mcav,UNKNOWN,SYBR,None,22.740,22.792,0.074,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.806,N,N,N,N,N,N,75.166,,,
18,B6,FALSE,20-21,C,UNKNOWN,VIC,NFQ-MGB,33.424,35.043,2.289,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.884,N,N,N,Y,N,N,0.000,,,
18,B6,FALSE,20-21,D,UNKNOWN,FAM,NFQ-MGB,27.958,27.914,0.063,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.765,Y,N,N,N,N,N,79.436,,,
19,B7,FALSE,20-21,Mcav,UNKNOWN,SYBR,None,22.844,22.792,0.074,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.858,N,N,N,N,N,N,75.166,,,
20,B8,FALSE,20-21,C,UNKNOWN,VIC,NFQ-MGB,36.661,35.043,2.289,,,,,,,,FALSE,0.020,TRUE,3,34,Inconclusive,,0.762,Y,N,N,Y,N,N,0.000,,,
20,B8,FALSE,20-21,D,UNKNOWN,FAM,NFQ-MGB,27.870,27.914,0.063,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.739,Y,N,N,N,N,N,74.430,,,
21,B9,FALSE,29-27,Mcav,UNKNOWN,SYBR,None,23.346,23.471,0.177,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.762,Y,N,N,N,N,N,75.166,,,
22,B10,FALSE,29-27,C,UNKNOWN,VIC,NFQ-MGB,28.316,28.455,0.197,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.918,N,N,N,N,N,N,0.000,,,
22,B10,FALSE,29-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,74.430,,,
23,B11,FALSE,29-27,Mcav,UNKNOWN,SYBR,None,23.596,23.471,0.177,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.854,N,N,N,N,N,N,74.872,,,
24,B12,FALSE,29-27,C,UNKNOWN,VIC,NFQ-MGB,28.595,28.455,0.197,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.915,N,N,N,N,N,N,0.000,,,
24,B12,FALSE,29-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,75.019,,,
25,C1,FALSE,22-01,Mcav,UNKNOWN,SYBR,None,17.629,21.064,4.857,,,,,,,,FALSE,0.020,TRUE,3,16,Amp,,0.188,Y,N,N,Y,N,Y,74.872,,,
26,C2,FALSE,22-01,C,UNKNOWN,VIC,NFQ-MGB,31.181,31.128,0.074,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.914,N,N,N,N,N,N,0.000,,,
26,C2,FALSE,22-01,D,UNKNOWN,FAM,NFQ-MGB,27.580,27.767,0.265,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.698,Y,N,N,N,N,N,81.055,,,
27,C3,FALSE,22-01,Mcav,UNKNOWN,SYBR,None,24.499,21.064,4.857,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.772,Y,N,N,Y,N,N,75.019,,,
28,C4,FALSE,22-01,C,UNKNOWN,VIC,NFQ-MGB,31.076,31.128,0.074,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.919,N,N,N,N,N,N,0.000,,,
28,C4,FALSE,22-01,D,UNKNOWN,FAM,NFQ-MGB,27.954,27.767,0.265,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.806,N,N,N,N,N,N,77.669,,,
29,C5,FALSE,20-01,Mcav,UNKNOWN,SYBR,None,22.784,22.835,0.072,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.859,N,N,N,N,N,N,75.019,,,
30,C6,FALSE,20-01,C,UNKNOWN,VIC,NFQ-MGB,28.167,28.252,0.120,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,N,N,0.000,,,
30,C6,FALSE,20-01,D,UNKNOWN,FAM,NFQ-MGB,29.459,30.711,1.771,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.740,Y,N,N,Y,N,N,90.920,,,
31,C7,FALSE,20-01,Mcav,UNKNOWN,SYBR,None,22.886,22.835,0.072,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.829,N,N,N,N,N,N,75.019,,,
32,C8,FALSE,20-01,C,UNKNOWN,VIC,NFQ-MGB,28.337,28.252,0.120,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.927,N,N,N,N,N,N,0.000,,,
32,C8,FALSE,20-01,D,UNKNOWN,FAM,NFQ-MGB,31.964,30.711,1.771,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.918,N,N,N,Y,N,N,90.920,,,
33,C9,FALSE,22-27,Mcav,UNKNOWN,SYBR,None,23.427,23.643,0.305,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.797,Y,N,N,N,N,N,75.019,,,
34,C10,FALSE,22-27,C,UNKNOWN,VIC,NFQ-MGB,29.505,29.515,0.015,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.922,N,N,N,N,N,N,0.000,,,
34,C10,FALSE,22-27,D,UNKNOWN,FAM,NFQ-MGB,28.256,28.323,0.094,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.803,N,N,N,N,N,N,77.669,,,
35,C11,FALSE,22-27,Mcav,UNKNOWN,SYBR,None,23.859,23.643,0.305,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.909,N,N,N,N,N,N,74.872,,,
36,C12,FALSE,22-27,C,UNKNOWN,VIC,NFQ-MGB,29.526,29.515,0.015,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.921,N,N,N,N,N,N,0.000,,,
36,C12,FALSE,22-27,D,UNKNOWN,FAM,NFQ-MGB,28.389,28.323,0.094,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.802,N,N,N,N,N,N,84.000,,,
37,D1,FALSE,20-33,Mcav,UNKNOWN,SYBR,None,24.691,24.700,0.012,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.682,Y,N,N,N,N,N,74.724,,,
38,D2,FALSE,20-33,C,UNKNOWN,VIC,NFQ-MGB,27.771,27.883,0.158,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.920,N,N,N,N,N,N,0.000,,,
38,D2,FALSE,20-33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,75.166,,,
39,D3,FALSE,20-33,Mcav,UNKNOWN,SYBR,None,24.709,24.700,0.012,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.837,N,N,N,N,N,N,75.019,,,
40,D4,FALSE,20-33,C,UNKNOWN,VIC,NFQ-MGB,27.994,27.883,0.158,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.940,N,N,N,N,N,N,0.000,,,
40,D4,FALSE,20-33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,80.172,,,
41,D5,FALSE,26-28,Mcav,UNKNOWN,SYBR,None,24.368,24.351,0.024,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.758,Y,N,N,N,N,N,74.872,,,
42,D6,FALSE,26-28,C,UNKNOWN,VIC,NFQ-MGB,28.942,29.213,0.384,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.924,N,N,N,N,N,N,0.000,,,
42,D6,FALSE,26-28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,75.166,,,
43,D7,FALSE,26-28,Mcav,UNKNOWN,SYBR,None,24.334,24.351,0.024,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.759,Y,N,N,N,N,N,75.019,,,
44,D8,FALSE,26-28,C,UNKNOWN,VIC,NFQ-MGB,29.484,29.213,0.384,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.926,N,N,N,N,N,N,0.000,,,
44,D8,FALSE,26-28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,89.447,,,
45,D9,FALSE,20-18,Mcav,UNKNOWN,SYBR,None,24.203,24.686,0.683,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.831,N,N,N,Y,N,N,75.019,,,
46,D10,FALSE,20-18,C,UNKNOWN,VIC,NFQ-MGB,28.650,28.416,0.331,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.933,N,N,N,N,N,N,0.000,,,
46,D10,FALSE,20-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,73.841,,,
47,D11,FALSE,20-18,Mcav,UNKNOWN,SYBR,None,25.170,24.686,0.683,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.919,N,N,N,Y,N,N,74.724,,,
48,D12,FALSE,20-18,C,UNKNOWN,VIC,NFQ-MGB,28.182,28.416,0.331,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.939,N,N,N,N,N,N,0.000,,,
48,D12,FALSE,20-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,73.988,,,
49,E1,FALSE,20-22,Mcav,UNKNOWN,SYBR,None,23.622,23.793,0.242,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.792,Y,N,N,N,N,N,74.872,,,
50,E2,FALSE,20-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,0.000,,,
50,E2,FALSE,20-22,D,UNKNOWN,FAM,NFQ-MGB,28.939,29.124,0.263,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.667,Y,N,N,N,N,N,79.583,,,
51,E3,FALSE,20-22,Mcav,UNKNOWN,SYBR,None,23.964,23.793,0.242,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.901,N,N,N,N,N,N,75.019,,,
52,E4,FALSE,20-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,0.000,,,
52,E4,FALSE,20-22,D,UNKNOWN,FAM,NFQ-MGB,29.310,29.124,0.263,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.786,Y,N,N,N,N,N,94.895,,,
53,E5,FALSE,26-09,Mcav,UNKNOWN,SYBR,None,23.326,23.327,0.001,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.846,N,N,N,N,N,N,74.872,,,
54,E6,FALSE,26-09,C,UNKNOWN,VIC,NFQ-MGB,29.299,29.459,0.227,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.938,N,N,N,N,N,N,0.000,,,
54,E6,FALSE,26-09,D,UNKNOWN,FAM,NFQ-MGB,28.267,28.333,0.094,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.791,Y,N,N,N,N,N,91.803,,,
55,E7,FALSE,26-09,Mcav,UNKNOWN,SYBR,None,23.328,23.327,0.001,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.852,N,N,N,N,N,N,75.019,,,
56,E8,FALSE,26-09,C,UNKNOWN,VIC,NFQ-MGB,29.619,29.459,0.227,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.921,N,N,N,N,N,N,0.000,,,
56,E8,FALSE,26-09,D,UNKNOWN,FAM,NFQ-MGB,28.400,28.333,0.094,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.771,Y,N,N,N,N,N,94.895,,,
57,E9,FALSE,20-12,Mcav,UNKNOWN,SYBR,None,26.423,26.561,0.196,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.893,N,N,N,N,N,N,74.872,,,
58,E10,FALSE,20-12,C,UNKNOWN,VIC,NFQ-MGB,27.834,27.894,0.086,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.934,N,N,N,N,N,N,0.000,,,
58,E10,FALSE,20-12,D,UNKNOWN,FAM,NFQ-MGB,29.361,30.472,1.571,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.710,Y,N,N,Y,N,N,90.184,,,
59,E11,FALSE,20-12,Mcav,UNKNOWN,SYBR,None,26.700,26.561,0.196,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.991,N,N,N,N,N,N,74.872,,,
60,E12,FALSE,20-12,C,UNKNOWN,VIC,NFQ-MGB,27.955,27.894,0.086,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.924,N,N,N,N,N,N,0.000,,,
60,E12,FALSE,20-12,D,UNKNOWN,FAM,NFQ-MGB,31.582,30.472,1.571,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.930,N,N,N,Y,N,N,75.019,,,
61,F1,FALSE,20-15,Mcav,UNKNOWN,SYBR,None,23.649,23.776,0.180,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.743,Y,N,N,N,N,N,74.724,,,
62,F2,FALSE,20-15,C,UNKNOWN,VIC,NFQ-MGB,28.274,28.312,0.053,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.934,N,N,N,N,N,N,0.000,,,
62,F2,FALSE,20-15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,82.822,,,
63,F3,FALSE,20-15,Mcav,UNKNOWN,SYBR,None,23.904,23.776,0.180,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.762,Y,N,N,N,N,N,75.019,,,
64,F4,FALSE,20-15,C,UNKNOWN,VIC,NFQ-MGB,28.349,28.312,0.053,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.938,N,N,N,N,N,N,0.000,,,
64,F4,FALSE,20-15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,94.895,,,
65,F5,FALSE,26-22,Mcav,UNKNOWN,SYBR,None,22.515,22.727,0.301,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.706,Y,N,N,N,N,N,74.872,,,
66,F6,FALSE,26-22,C,UNKNOWN,VIC,NFQ-MGB,30.783,30.874,0.128,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.914,N,N,N,N,N,N,0.000,,,
66,F6,FALSE,26-22,D,UNKNOWN,FAM,NFQ-MGB,27.968,27.950,0.025,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.692,Y,N,N,N,N,N,76.786,,,
67,F7,FALSE,26-22,Mcav,UNKNOWN,SYBR,None,22.940,22.727,0.301,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.811,N,N,N,N,N,N,75.019,,,
68,F8,FALSE,26-22,C,UNKNOWN,VIC,NFQ-MGB,30.964,30.874,0.128,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.928,N,N,N,N,N,N,0.000,,,
68,F8,FALSE,26-22,D,UNKNOWN,FAM,NFQ-MGB,27.932,27.950,0.025,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.687,Y,N,N,N,N,N,90.184,,,
69,F9,FALSE,26-07,Mcav,UNKNOWN,SYBR,None,25.195,25.065,0.185,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.956,N,N,N,N,N,N,74.872,,,
70,F10,FALSE,26-07,C,UNKNOWN,VIC,NFQ-MGB,28.987,28.759,0.323,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.922,N,N,N,N,N,N,0.000,,,
70,F10,FALSE,26-07,D,UNKNOWN,FAM,NFQ-MGB,31.054,30.938,0.164,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.944,N,N,N,N,N,N,90.478,,,
71,F11,FALSE,26-07,Mcav,UNKNOWN,SYBR,None,24.934,25.065,0.185,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.943,N,N,N,N,N,N,74.872,,,
72,F12,FALSE,26-07,C,UNKNOWN,VIC,NFQ-MGB,28.531,28.759,0.323,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.919,N,N,N,N,N,N,0.000,,,
72,F12,FALSE,26-07,D,UNKNOWN,FAM,NFQ-MGB,30.822,30.938,0.164,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.945,N,N,N,N,N,N,75.313,,,
73,G1,FALSE,26-23,Mcav,UNKNOWN,SYBR,None,23.371,23.473,0.144,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.801,N,N,N,N,N,N,74.724,,,
74,G2,FALSE,26-23,C,UNKNOWN,VIC,NFQ-MGB,28.794,28.823,0.041,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.940,N,N,N,N,N,N,0.000,,,
74,G2,FALSE,26-23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,N,Y,N,Y,N,84.589,,,
75,G3,FALSE,26-23,Mcav,UNKNOWN,SYBR,None,23.575,23.473,0.144,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.824,N,N,N,N,N,N,74.872,,,
76,G4,FALSE,26-23,C,UNKNOWN,VIC,NFQ-MGB,28.852,28.823,0.041,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.930,N,N,N,N,N,N,0.000,,,
