15,B3,FALSE,26-15,Mcav,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,60.001,,,
16,B4,FALSE,26-15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,0.000,,,
16,B4,FALSE,26-15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,73.552,,,
17,B5,FALSE,22-08,Mcav,UNKNOWN,SYBR,None,23.880,23.663,0.307,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.900,N,N,N,N,75.172,,,
18,B6,FALSE,22-08,C,UNKNOWN,VIC,NFQ-MGB,27.647,27.575,0.102,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.925,N,N,N,N,0.000,,,
18,B6,FALSE,22-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,75.025,,,
19,B7,FALSE,22-08,Mcav,UNKNOWN,SYBR,None,23.446,23.663,0.307,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.872,N,N,N,N,75.172,,,
20,B8,FALSE,22-08,C,UNKNOWN,VIC,NFQ-MGB,27.503,27.575,0.102,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.927,N,N,N,N,0.000,,,
20,B8,FALSE,22-08,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.583,,,
21,B9,FALSE,23-02,Mcav,UNKNOWN,SYBR,None,25.518,25.767,0.352,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.837,N,N,N,N,75.172,,,
22,B10,FALSE,23-02,C,UNKNOWN,VIC,NFQ-MGB,26.709,26.975,0.376,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.922,N,N,N,N,0.000,,,
22,B10,FALSE,23-02,D,UNKNOWN,FAM,NFQ-MGB,31.775,32.753,1.384,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.909,N,N,Y,N,76.056,,,
23,B11,FALSE,23-02,Mcav,UNKNOWN,SYBR,None,26.016,25.767,0.352,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.824,N,N,N,N,74.877,,,
24,B12,FALSE,23-02,C,UNKNOWN,VIC,NFQ-MGB,27.241,26.975,0.376,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.918,N,N,N,N,0.000,,,
24,B12,FALSE,23-02,D,UNKNOWN,FAM,NFQ-MGB,33.732,32.753,1.384,,,,,,,,FALSE,0.020,TRUE,3,32,Amp,,0.806,N,N,Y,N,74.288,,,
25,C1,FALSE,22-16,Mcav,UNKNOWN,SYBR,None,23.708,23.766,0.082,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.850,N,N,N,N,75.025,,,
26,C2,FALSE,22-16,C,UNKNOWN,VIC,NFQ-MGB,28.440,28.236,0.288,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,0.000,,,
26,C2,FALSE,22-16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,73.846,,,
27,C3,FALSE,22-16,Mcav,UNKNOWN,SYBR,None,23.824,23.766,0.082,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.827,N,N,N,N,75.172,,,
28,C4,FALSE,22-16,C,UNKNOWN,VIC,NFQ-MGB,28.033,28.236,0.288,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.929,N,N,N,N,0.000,,,
28,C4,FALSE,22-16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,76.350,,,
29,C5,FALSE,22-18,Mcav,UNKNOWN,SYBR,None,25.218,25.363,0.206,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.870,N,N,N,N,75.025,,,
30,C6,FALSE,22-18,C,UNKNOWN,VIC,NFQ-MGB,35.263,34.330,1.319,,,,,,,,FALSE,0.020,TRUE,3,33,Amp,,0.853,N,N,Y,N,0.000,,,
30,C6,FALSE,22-18,D,UNKNOWN,FAM,NFQ-MGB,31.619,31.092,0.746,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.954,N,N,Y,N,83.420,,,
31,C7,FALSE,22-18,Mcav,UNKNOWN,SYBR,None,25.509,25.363,0.206,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.867,N,N,N,N,75.172,,,
32,C8,FALSE,22-18,C,UNKNOWN,VIC,NFQ-MGB,33.398,34.330,1.319,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.888,N,N,Y,N,0.000,,,
32,C8,FALSE,22-18,D,UNKNOWN,FAM,NFQ-MGB,30.565,31.092,0.746,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.950,N,N,Y,N,90.931,,,
33,C9,FALSE,28-40,Mcav,UNKNOWN,SYBR,None,24.736,24.665,0.101,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.914,N,N,N,N,75.172,,,
34,C10,FALSE,28-40,C,UNKNOWN,VIC,NFQ-MGB,30.881,30.998,0.165,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.913,N,N,N,N,0.000,,,
34,C10,FALSE,28-40,D,UNKNOWN,FAM,NFQ-MGB,28.318,28.015,0.429,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.880,N,N,N,N,79.001,,,
35,C11,FALSE,28-40,Mcav,UNKNOWN,SYBR,None,24.594,24.665,0.101,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.907,N,N,N,N,75.025,,,
36,C12,FALSE,28-40,C,UNKNOWN,VIC,NFQ-MGB,31.115,30.998,0.165,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.908,N,N,N,N,0.000,,,
36,C12,FALSE,28-40,D,UNKNOWN,FAM,NFQ-MGB,27.712,28.015,0.429,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.787,Y,N,N,N,79.443,,,
37,D1,FALSE,26-06,Mcav,UNKNOWN,SYBR,None,25.805,25.898,0.132,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.661,Y,N,N,N,74.877,,,
38,D2,FALSE,26-06,C,UNKNOWN,VIC,NFQ-MGB,28.159,28.353,0.274,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.917,N,N,N,N,0.000,,,
38,D2,FALSE,26-06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,75.614,,,
39,D3,FALSE,26-06,Mcav,UNKNOWN,SYBR,None,25.991,25.898,0.132,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.827,N,N,N,N,75.172,,,
40,D4,FALSE,26-06,C,UNKNOWN,VIC,NFQ-MGB,28.546,28.353,0.274,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,0.000,,,
40,D4,FALSE,26-06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,77.234,,,
41,D5,FALSE,17-40,Mcav,UNKNOWN,SYBR,None,25.895,25.627,0.380,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.992,N,N,N,N,75.025,,,
42,D6,FALSE,17-40,C,UNKNOWN,VIC,NFQ-MGB,26.918,26.903,0.021,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.919,N,N,N,N,0.000,,,
42,D6,FALSE,17-40,D,UNKNOWN,FAM,NFQ-MGB,30.154,30.083,0.100,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.819,N,N,N,N,77.234,,,
43,D7,FALSE,17-40,Mcav,UNKNOWN,SYBR,None,25.358,25.627,0.380,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.836,N,N,N,N,75.172,,,
44,D8,FALSE,17-40,C,UNKNOWN,VIC,NFQ-MGB,26.889,26.903,0.021,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.933,N,N,N,N,0.000,,,
44,D8,FALSE,17-40,D,UNKNOWN,FAM,NFQ-MGB,30.013,30.083,0.100,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.766,Y,N,N,N,77.087,,,
45,D9,FALSE,21-20,Mcav,UNKNOWN,SYBR,None,23.218,22.988,0.325,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.855,N,N,N,N,75.172,,,
46,D10,FALSE,21-20,C,UNKNOWN,VIC,NFQ-MGB,28.696,28.519,0.250,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.924,N,N,N,N,0.000,,,
46,D10,FALSE,21-20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,73.257,,,
47,D11,FALSE,21-20,Mcav,UNKNOWN,SYBR,None,22.758,22.988,0.325,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.743,Y,N,N,N,75.025,,,
48,D12,FALSE,21-20,C,UNKNOWN,VIC,NFQ-MGB,28.342,28.519,0.250,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,0.000,,,
48,D12,FALSE,21-20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,79.296,,,
49,E1,FALSE,22-09,Mcav,UNKNOWN,SYBR,None,22.905,23.216,0.440,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.650,Y,N,N,N,75.025,,,
50,E2,FALSE,22-09,C,UNKNOWN,VIC,NFQ-MGB,26.853,26.995,0.201,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.929,N,N,N,N,0.000,,,
50,E2,FALSE,22-09,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,75.908,,,
51,E3,FALSE,22-09,Mcav,UNKNOWN,SYBR,None,23.528,23.216,0.440,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.816,N,N,N,N,75.172,,,
52,E4,FALSE,22-09,C,UNKNOWN,VIC,NFQ-MGB,27.138,26.995,0.201,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.939,N,N,N,N,0.000,,,
52,E4,FALSE,22-09,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,94.908,,,
53,E5,FALSE,26-17,Mcav,UNKNOWN,SYBR,None,26.915,26.817,0.139,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.987,N,N,N,N,74.877,,,
54,E6,FALSE,26-17,C,UNKNOWN,VIC,NFQ-MGB,28.314,28.201,0.160,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.952,N,N,N,N,0.000,,,
54,E6,FALSE,26-17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,94.908,,,
55,E7,FALSE,26-17,Mcav,UNKNOWN,SYBR,None,26.719,26.817,0.139,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.994,N,N,N,N,75.025,,,
56,E8,FALSE,26-17,C,UNKNOWN,VIC,NFQ-MGB,28.089,28.201,0.160,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.927,N,N,N,N,0.000,,,
56,E8,FALSE,26-17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,92.699,,,
57,E9,FALSE,17-33,Mcav,UNKNOWN,SYBR,None,26.131,25.991,0.198,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.906,N,N,N,N,75.025,,,
58,E10,FALSE,17-33,C,UNKNOWN,VIC,NFQ-MGB,26.873,26.773,0.142,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.936,N,N,N,N,0.000,,,
58,E10,FALSE,17-33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.877,,,
59,E11,FALSE,17-33,Mcav,UNKNOWN,SYBR,None,25.851,25.991,0.198,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.882,N,N,N,N,75.025,,,
60,E12,FALSE,17-33,C,UNKNOWN,VIC,NFQ-MGB,26.673,26.773,0.142,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.924,N,N,N,N,0.000,,,
60,E12,FALSE,17-33,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.730,,,
61,F1,FALSE,26-30,Mcav,UNKNOWN,SYBR,None,24.442,24.567,0.176,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.775,Y,N,N,N,74.877,,,
62,F2,FALSE,26-30,C,UNKNOWN,VIC,NFQ-MGB,29.132,29.200,0.096,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.918,N,N,N,N,0.000,,,
62,F2,FALSE,26-30,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,75.319,,,
63,F3,FALSE,26-30,Mcav,UNKNOWN,SYBR,None,24.691,24.567,0.176,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.911,N,N,N,N,75.025,,,
64,F4,FALSE,26-30,C,UNKNOWN,VIC,NFQ-MGB,29.268,29.200,0.096,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.933,N,N,N,N,0.000,,,
64,F4,FALSE,26-30,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,89.753,,,
65,F5,FALSE,20-05,Mcav,UNKNOWN,SYBR,None,24.382,24.845,0.655,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.760,Y,N,Y,N,75.319,,,
66,F6,FALSE,20-05,C,UNKNOWN,VIC,NFQ-MGB,27.522,27.850,0.463,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.922,N,N,N,N,0.000,,,
66,F6,FALSE,20-05,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,75.908,,,
67,F7,FALSE,20-05,Mcav,UNKNOWN,SYBR,None,25.309,24.845,0.655,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.756,Y,N,Y,N,75.172,,,
68,F8,FALSE,20-05,C,UNKNOWN,VIC,NFQ-MGB,28.177,27.850,0.463,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,0.000,,,
68,F8,FALSE,20-05,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,87.102,,,
69,F9,FALSE,25-01,Mcav,UNKNOWN,SYBR,None,22.623,22.712,0.127,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.854,N,N,N,N,75.025,,,
70,F10,FALSE,25-01,C,UNKNOWN,VIC,NFQ-MGB,27.155,27.392,0.334,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.930,N,N,N,N,0.000,,,
70,F10,FALSE,25-01,D,UNKNOWN,FAM,NFQ-MGB,33.448,33.407,0.057,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.836,N,N,N,N,73.552,,,
71,F11,FALSE,25-01,Mcav,UNKNOWN,SYBR,None,22.802,22.712,0.127,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.903,N,N,N,N,75.025,,,
72,F12,FALSE,25-01,C,UNKNOWN,VIC,NFQ-MGB,27.628,27.392,0.334,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.916,N,N,N,N,0.000,,,
72,F12,FALSE,25-01,D,UNKNOWN,FAM,NFQ-MGB,33.367,33.407,0.057,,,,,,,,FALSE,0.020,TRUE,3,32,Amp,,0.834,N,N,N,N,74.435,,,
73,G1,FALSE,26-18,Mcav,UNKNOWN,SYBR,None,23.574,23.186,0.549,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.869,N,N,Y,N,74.877,,,
74,G2,FALSE,26-18,C,UNKNOWN,VIC,NFQ-MGB,30.537,30.387,0.212,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.918,N,N,N,N,0.000,,,
74,G2,FALSE,26-18,D,UNKNOWN,FAM,NFQ-MGB,28.130,27.910,0.310,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.807,N,N,N,N,79.001,,,
75,G3,FALSE,26-18,Mcav,UNKNOWN,SYBR,None,22.798,23.186,0.549,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.716,Y,N,Y,N,75.025,,,
76,G4,FALSE,26-18,C,UNKNOWN,VIC,NFQ-MGB,30.237,30.387,0.212,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.923,N,N,N,N,0.000,,,
76,G4,FALSE,26-18,D,UNKNOWN,FAM,NFQ-MGB,27.691,27.910,0.310,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.628,Y,N,N,N,89.311,,,
77,G5,FALSE,29-06,Mcav,UNKNOWN,SYBR,None,24.544,24.436,0.152,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.903,N,N,N,N,74.877,,,
78,G6,FALSE,29-06,C,UNKNOWN,VIC,NFQ-MGB,27.057,27.047,0.015,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.940,N,N,N,N,0.000,,,
78,G6,FALSE,29-06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,94.908,,,
79,G7,FALSE,29-06,Mcav,UNKNOWN,SYBR,None,24.328,24.436,0.152,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.896,N,N,N,N,75.025,,,
80,G8,FALSE,29-06,C,UNKNOWN,VIC,NFQ-MGB,27.036,27.047,0.015,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.932,N,N,N,N,0.000,,,
